month,region,index_name,value,index_source,change_vs_prior,notes
2022-01,North America,Consumer_Confidence_Index,100.0,synthetic_baseline,,Synthetic regional sentiment baseline for prototype use
2022-02,North America,Consumer_Confidence_Index,100.7,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2022-03,North America,Consumer_Confidence_Index,100.3,synthetic_baseline,-0.4,Synthetic regional sentiment baseline for prototype use
2022-04,North America,Consumer_Confidence_Index,101.0,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2022-05,North America,Consumer_Confidence_Index,101.4,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2022-06,North America,Consumer_Confidence_Index,102.5,synthetic_baseline,+1.1,Synthetic regional sentiment baseline for prototype use
2022-07,North America,Consumer_Confidence_Index,102.0,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2022-08,North America,Consumer_Confidence_Index,101.3,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2022-09,North America,Consumer_Confidence_Index,100.5,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2022-10,North America,Consumer_Confidence_Index,99.8,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2022-11,North America,Consumer_Confidence_Index,100.0,synthetic_baseline,+0.2,Synthetic regional sentiment baseline for prototype use
2022-12,North America,Consumer_Confidence_Index,100.1,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2023-01,North America,Consumer_Confidence_Index,100.7,synthetic_baseline,+0.6,Synthetic regional sentiment baseline for prototype use
2023-02,North America,Consumer_Confidence_Index,101.4,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2023-03,North America,Consumer_Confidence_Index,102.2,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2023-04,North America,Consumer_Confidence_Index,102.9,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2023-05,North America,Consumer_Confidence_Index,103.3,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2023-06,North America,Consumer_Confidence_Index,103.2,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2023-07,North America,Consumer_Confidence_Index,102.7,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2023-08,North America,Consumer_Confidence_Index,102.0,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2023-09,North America,Consumer_Confidence_Index,101.2,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2023-10,North America,Consumer_Confidence_Index,100.5,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2023-11,North America,Consumer_Confidence_Index,100.7,synthetic_baseline,+0.2,Synthetic regional sentiment baseline for prototype use
2023-12,North America,Consumer_Confidence_Index,100.8,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2024-01,North America,Consumer_Confidence_Index,101.4,synthetic_baseline,+0.6,Synthetic regional sentiment baseline for prototype use
2024-02,North America,Consumer_Confidence_Index,102.1,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2024-03,North America,Consumer_Confidence_Index,102.9,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2024-04,North America,Consumer_Confidence_Index,103.6,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2024-05,North America,Consumer_Confidence_Index,104.0,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2024-06,North America,Consumer_Confidence_Index,103.9,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2024-07,North America,Consumer_Confidence_Index,103.4,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2024-08,North America,Consumer_Confidence_Index,102.7,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2024-09,North America,Consumer_Confidence_Index,101.9,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2024-10,North America,Consumer_Confidence_Index,101.2,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2024-11,North America,Consumer_Confidence_Index,101.4,synthetic_baseline,+0.2,Synthetic regional sentiment baseline for prototype use
2024-12,North America,Consumer_Confidence_Index,101.5,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2025-01,North America,Consumer_Confidence_Index,102.1,synthetic_baseline,+0.6,Synthetic regional sentiment baseline for prototype use
2025-02,North America,Consumer_Confidence_Index,102.8,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2025-03,North America,Consumer_Confidence_Index,103.6,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2025-04,North America,Consumer_Confidence_Index,104.3,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2025-05,North America,Consumer_Confidence_Index,104.7,synthetic_baseline,+0.4,Synthetic regional sentiment baseline for prototype use
2025-06,North America,Consumer_Confidence_Index,104.6,synthetic_baseline,-0.1,Synthetic regional sentiment baseline for prototype use
2025-07,North America,Consumer_Confidence_Index,104.1,synthetic_baseline,-0.5,Synthetic regional sentiment baseline for prototype use
2025-08,North America,Consumer_Confidence_Index,103.4,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2025-09,North America,Consumer_Confidence_Index,102.6,synthetic_baseline,-0.8,Synthetic regional sentiment baseline for prototype use
2025-10,North America,Consumer_Confidence_Index,101.9,synthetic_baseline,-0.7,Synthetic regional sentiment baseline for prototype use
2025-11,North America,Consumer_Confidence_Index,102.1,synthetic_baseline,+0.2,Synthetic regional sentiment baseline for prototype use
2025-12,North America,Consumer_Confidence_Index,102.2,synthetic_baseline,+0.1,Synthetic regional sentiment baseline for prototype use
2026-01,North America,Consumer_Confidence_Index,102.8,synthetic_baseline,+0.6,Synthetic regional sentiment baseline for prototype use
2026-02,North America,Consumer_Confidence_Index,103.5,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
2026-03,North America,Consumer_Confidence_Index,104.3,synthetic_baseline,+0.8,Synthetic regional sentiment baseline for prototype use
2026-04,North America,Consumer_Confidence_Index,105.0,synthetic_baseline,+0.7,Synthetic regional sentiment baseline for prototype use
