region,category,month,seasonality_index,demand_driver,source_type,notes
North America,Apparel,2022-01,89,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-01,93,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-01,98,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-01,92,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-01,90,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-01,108,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-01,100,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-01,91,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-02,91,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-02,92,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-02,98,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-02,95,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-02,91,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-02,100,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-02,99,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-02,93,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-03,97,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-03,94,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-03,99,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-03,98,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-03,94,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-03,98,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-03,100,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-03,96,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-04,100,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-04,96,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-04,99,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-04,100,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-04,96,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-04,102,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-04,101,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-04,99,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-05,98,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-05,97,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-05,99,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-05,97,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-05,95,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-05,107,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-05,100,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-05,98,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-06,96,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
